chart_week,rank,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,track_id,artist_id,release_date,explicit,track_popularity,artist_genres,artist_followers,artist_popularity
2026-01-08,37,Radiohead,Creep,XL Recordings,27,41,110,14252063,70LcF31zb1H0PyJoS1Sx1r,4Z8W4fKeB5YxbusRsdQVPb,1993-02-22,True,93.0,art rock|alternative rock,14795134.0,88.0
2026-01-08,38,Sabrina Carpenter,Espresso,Island Records,1,30,91,14221924,2HRqTpkrJO5ggZyyK6NPWz,74KM79TiuVKeVCqs8QtB0B,2024-08-23,True,88.0,pop,28829047.0,93.0
2026-01-08,39,Billie Eilish,WILDFLOWER,Darkroom/Interscope Records,9,42,86,14218346,3QaPy1KgI7nu9FJEQUgn6h,6qqNVTkY8uBg9cP3Jd7DAH,2024-05-17,False,93.0,unknown,121975882.0,93.0
2026-01-08,40,"ROSÉ, Bruno Mars",APT.,Atlantic Records,1,25,64,14127486,4wJ5Qq0jBN4ajy7ouZIV1c,,,,,unknown,,
2026-01-08,41,Benson Boone,Beautiful Things,"Night Street Records, Inc./Warner Records Inc.",1,35,103,14106398,3xkHsmpQCBMytMJNiDf3Ii,22wbnEMDvgVIAGdFeek6ET,2024-04-05,False,89.0,unknown,7569844.0,85.0
2026-01-08,42,"Peso Pluma, Tito Double P",daño,Double P Records,42,77,2,14088327,136BeIIoBGrrU9fI1jbcDR,12GqGscKJx3aE4t07u7eVZ,2025-12-25,True,88.0,corrido|corridos tumbados|corridos bélicos|música mexicana|sad sierreño|banda,25292382.0,92.0
2026-01-08,43,"DJ Japa NK, MC Meno K, MC Ryan SP, Mc Jacaré, DJ DAVI DOGDOG",Posso Até Não Te Dar Flores,Bololo Records,11,16,12,14059986,4G7bbgD2DHORU4frrWoCXp,1bpnl8qbR9GxmiNlkEufW6,2025-09-11,True,92.0,brazilian funk|trap funk|funk consciente,487021.0,83.0
2026-01-08,44,Coldplay,Yellow,Parlophone UK,19,51,264,13808007,3AJwUDP919kvQ9QcozQPxg,4gzpq5DPGxSnKTe4SA8HAU,2000-07-10,False,92.0,unknown,62142753.0,91.0
2026-01-08,45,Sabrina Carpenter,Manchild,Island Records,1,36,31,13762884,2BwO5K8Q7EPAJSGze3AAh9,74KM79TiuVKeVCqs8QtB0B,2025-08-29,True,88.0,pop,28829047.0,93.0
2026-01-08,46,"ROSALÍA, Yahritza Y Su Esencia",La Perla,Columbia,7,46,9,13680509,4oVO4fGNRRvEn0CRuFO4qv,7ltDVBr6mKbRvohxheJ9h1,2025-11-07,True,92.0,latin,9269093.0,87.0
2026-01-08,47,Arctic Monkeys,I Wanna Be Yours,Domino Recording Co,15,43,183,13583589,5XeFesFbtLpXzIVDNQP22n,7Ln80lUS6He07XvHI8qqHH,2013-09-09,False,92.0,indie|garage rock,33000653.0,87.0
2026-01-08,48,Gracie Abrams,That’s So True,"Gracie Abrams, under exclusive license to Interscope Records",3,48,64,13481850,7ne4VBA60CxGM75vw0EYad,4tuJ0bMpJh08umKkEXKUI5,2024-10-18,True,92.0,unknown,8286087.0,85.0
2026-01-08,49,Jin,Don’t Say You Love Me,BIGHIT MUSIC,2,38,34,13384050,27xkOIER6uDLKALIelHylZ,5vV3bFXnN6D6N3Nj4xRvaV,2025-05-16,False,87.0,k-pop,9943189.0,79.0
2026-01-08,50,"Drake, Wizkid, Kyla",One Dance,Cash Money Records/Young Money Ent./Universal Rec.,12,50,260,13295638,1zi7xx7UVEFkmKfv06H8x0,3TVXtAsR1Inumwj472S9r4,2016-05-06,False,91.0,rap,106061217.0,98.0
2026-01-08,51,Tears For Fears,Everybody Wants To Rule The World,UMC (Universal Music Catalogue),51,63,141,13103210,4RvWPyQ5RL0ao9LPZeSouE,4bthk9UfsYUYdcFyqxmSUU,1985-02-25,False,90.0,new wave|synthpop,4261509.0,77.0
2026-01-08,52,Coldplay,Sparks,Parlophone UK,30,56,72,12985967,7D0RhFcb3CrfPuTJ0obrod,4gzpq5DPGxSnKTe4SA8HAU,2000-07-10,False,91.0,unknown,62142753.0,91.0
2026-01-08,53,EsDeeKid,4 Raws,Lizzy Records,53,65,6,12983589,554qQSs9lpRVq6TlaaiIKT,0EyhkwP3UnwGFBy6xwKjSy,2025-06-20,True,91.0,unknown,1237042.0,86.0
2026-01-08,54,Fleetwood Mac,Dreams - 2004 Remaster,Rhino/Warner Records,20,64,136,12943133,0ofHAoxe9vBkTCp2UQIavz,08GQAI4eElDnROBrJRGE0X,1977-02-04,False,91.0,classic rock|yacht rock|soft rock,14472915.0,86.0
2026-01-08,55,"The Weeknd, Daft Punk",Starboy,Universal Republic Records,1,54,275,12845040,7MXVkk9YMctZqd1Srtv4MB,1Xyo4u8uXC1ZmMpatF05PJ,2016-11-25,True,91.0,unknown,117116492.0,96.0
2026-01-08,56,Teddy Swims,Lose Control,Warner Records,5,55,113,12701754,17phhZDn6oGtzMe56NuWvj,33qOK5uJ8AR2xuQQAhHump,2023-09-15,False,90.0,unknown,6108632.0,86.0
2026-01-08,57,"DJ Snake, Justin Bieber",Let Me Love You,DJ Snake Def Jam,4,74,87,12669401,0lYBSQXN6rCTvUZvg9S0lU,540vIaP2JwjQb9dm3aArA4,2016-08-05,False,90.0,unknown,9445238.0,81.0
2026-01-08,58,"EsDeeKid, Rico Ace",Phantom,Lizzy Records,45,45,8,12610476,57Z6TJCTMACXxdrcwZ3Zvf,0EyhkwP3UnwGFBy6xwKjSy,2025-06-20,True,91.0,unknown,1237042.0,86.0
2026-01-08,59,"W Sound, Beéle, Ovy On The Drums",La Plena - W Sound 05,WEA Latina,5,39,45,12590783,6iOndD4OFo7GkaDypWQIou,5uwa6tAMMfNbBFIHiI6NV4,2025-02-19,True,90.0,unknown,916681.0,76.0
2026-01-08,60,"The Weeknd, Playboi Carti",Timeless (feat Playboi Carti),XO / Republic Records,3,57,67,12404939,0FIDCNYYjNvPVimz5icugS,1Xyo4u8uXC1ZmMpatF05PJ,2025-01-31,True,92.0,unknown,117116492.0,96.0
2026-01-08,61,"Jung Kook, Latto",Seven (feat. Latto) (Explicit Ver.),BIGHIT MUSIC,1,62,130,12119255,2HRgqmZQC0MC7GeNuDIXHN,6HaGTQPmzraVmaVxvz6EUc,2023-11-03,True,85.0,k-pop,19089134.0,82.0
2026-01-08,62,Kehlani,Folded,TSNMI / Atlantic,62,81,23,12082594,0bxPRWprUVpQK0UFcddkrA,0cGUm45nv7Z6M6qdXYQGTX,2025-06-11,False,90.0,unknown,8968743.0,81.0
2026-01-08,63,The Weeknd,Blinding Lights,Republic Records,1,49,319,12010979,0VjIjW4GlUZAMYd2vXMi3b,1Xyo4u8uXC1ZmMpatF05PJ,2020-03-20,False,91.0,unknown,117116492.0,96.0
2026-01-08,64,The Killers,Mr. Brightside,Island Records,61,61,202,11993495,003vvx7Niy0yvhvHt4a68B,0C0XlULifJtAgn6ZNCW2eu,,False,91.0,alternative rock,8185674.0,80.0
2026-01-08,65,The Marías,No One Noticed,Nice Life/Atlantic,37,76,60,11862918,3siwsiaEoU4Kuuc9WKMUy5,2sSGPbdZJkaSE2AbcGOACx,2024-05-31,False,91.0,bedroom pop,4285703.0,85.0
2026-01-08,66,Bruno Mars,That's What I Like,Atlantic Records,6,66,167,11691551,0KKkJNfGyhkQ5aFogxQAPU,0du5cEVh5yTK9QJze8zA0C,2016-11-17,False,91.0,unknown,78066276.0,93.0
2026-01-08,67,sombr,undressed,Warner Records,6,105,41,11481926,0TFTAtCYhp2tQ9KcJIZb55,4G9NDjRyZFDlJKMRL8hx3S,2025-08-22,False,88.0,unknown,3487254.0,86.0
2026-01-08,68,Arctic Monkeys,505,Domino Recording Co,43,71,209,11458364,58ge6dfP91o9oXMzq3XkIS,,,,,unknown,,
2026-01-08,69,"Kendrick Lamar, SZA","All The Stars (with SZA) - From ""Black Panther: The Album""",Black Panther (TDE/DMG) PS,2,79,134,11425387,3GCdLUSnKSMJhs4Tj6CV3s,2YZyLoL8N0Wb9xBt1NhZWg,2018-02-09,True,90.0,hip hop|west coast hip hop,45978576.0,91.0
2026-01-08,70,"Peso Pluma, Tito Double P",bckpckbyz,Double P Records,53,53,2,11413902,4qfkZtOGVw2BXa05wqXKkV,12GqGscKJx3aE4t07u7eVZ,2025-12-25,True,86.0,corrido|corridos tumbados|corridos bélicos|música mexicana|sad sierreño|banda,25292382.0,92.0
2026-01-08,71,Neton Vega,Pvta Luna,Josa Records (Neton Vega),71,80,8,11241600,33MeEaRCeIQMSRyFTr5ZJU,6pV5zH2LzjOUHaAvENdMMa,2025-09-26,False,88.0,corrido|corridos tumbados|corridos bélicos|electro corridos|dembow belico,5198678.0,86.0
2026-01-08,72,Justin Bieber,DAISIES,"JRC Entertainment, LLC / ILH Production Co. LLC / Def Jam Recordings",2,89,26,11218961,5BZsQlgw21vDOAjoqkNgKb,1uNFoZAHBGtllmzznpCI3s,2025-07-11,False,91.0,unknown,86441506.0,94.0
2026-01-08,73,"Gorillaz, De La Soul",Feel Good Inc.,Parlophone UK,46,85,55,11187369,0d28khcov6AiegSCpG5TuT,3AA28KZvwAUcZuOKwyblJQ,2005-05-23,False,91.0,unknown,15103109.0,84.0
2026-01-08,74,a-ha,Take on Me,Rhino,56,75,82,11046179,2WfaOiMkCvy7F5fcp2zZ8L,2jzc5TC5TVFLXQlBNiIUzE,1985-06-01,False,89.0,new wave|synthpop,3035078.0,75.0
2026-01-08,75,Chappell Roan,"Good Luck, Babe!",Chappell Roan PS/ Island,6,107,91,10980749,0WbMK4wrZ1wFSty9F7FCgu,7GlBOeep6PqTfFi59PTUUN,2024-04-05,False,90.0,unknown,7702970.0,83.0
2026-01-08,76,Bad Bunny,NUEVAYoL,Rimas Entertainment LLC.,5,58,53,10929790,5TFD2bmFKGhoCRbX61nXY5,4q3ewBCX7sLwd24euuV69X,2025-01-05,False,91.0,reggaeton|trap latino|urbano latino|latin,106663197.0,99.0
2026-01-08,77,Cigarettes After Sex,Apocalypse,Partisan Records,53,91,182,10860390,1oAwsWBovWRIp7qLMGPIet,1QAJqy2dA3ihHBFIHRphZj,2017-06-09,False,90.0,dream pop,18127231.0,86.0
2026-01-08,78,Daniel Caesar,Who Knows,Republic Records,78,112,7,10793107,6DH13QYXK7lKkYHSU88N48,20wkVLutqVOYrc0kxFs7rA,2025-10-24,False,89.0,unknown,12394230.0,88.0
2026-01-08,79,Beéle,no tiene sentido,5020 Records,18,133,30,10788057,1HEwEN64NjgTaHmo7LfkX8,7a0XAaPaK2aDSqa8p3QnC7,2025-05-15,False,88.0,latin afrobeats|reggaeton|pop urbano,3915076.0,89.0
2026-01-08,80,Olivia Dean,Nice To Each Other,PLG - Capitol,53,127,19,10759511,7gKxCvTDWwV9wBhdeBbr3l,00x1fYSGhdqScXBRpSj3DW,2025-05-30,False,89.0,pop soul,2651507.0,93.0
