chart_week,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
2026-01-08,27,spotify:track:7tI8dRuH2Yc6RuoTjxo4dU,Jimin,Who,BIGHIT MUSIC,1,32,77,15246169
2026-01-08,28,spotify:track:3oTuTpF1F3A7rEC6RKsMRz,"Dave, Tems",Raindance (feat. Tems),Neighbourhood,28,47,6,15187566
2026-01-08,29,spotify:track:64qfw9JZl3RYCrq4Mn0WvT,Idgitaf,Sedia Aku Sebelum Hujan,idgitaf musik,24,24,6,15091205
2026-01-08,30,spotify:track:05od2qm2MTSKCHxy1GBp5W,sombr,12 to 12,Warner Records,14,40,24,14842918
2026-01-08,31,spotify:track:3THVfoVD5kdCxPviVaCPi7,KATSEYE,Internet Girl,Hybe/Geffen,31,-1,1,14661216
2026-01-08,32,spotify:track:7CyPwkp0oE8Ro9Dd5CUDjW,"The Weeknd, JENNIE, Lily-Rose Depp","One Of The Girls (with JENNIE, Lily Rose Depp)",XO / Republic Records,3,34,118,14653787
2026-01-08,33,spotify:track:2gYTC8DsplN3RNdpdBcCOQ,SIENNA SPIRO,Die On This Hill,Capitol Records,33,60,4,14625286
2026-01-08,34,spotify:track:3hRV0jL3vUpRrcy398teAU,Lord Huron,The Night We Met,Play It Again Sam,15,44,168,14395897
2026-01-08,35,spotify:track:2pbSCYzxrG0wa6qcj8IyiE,"El Bogueto, Anuel AA, Fuerza Regida, Yung Beef",Cuando No Era Cantante - Remix,El Bogueto,33,33,4,14286791
2026-01-08,36,spotify:track:1uvyZBs4IZYRebHIB1747m,Prince,Purple Rain,Warner Records,36,-1,1,14275905
2026-01-08,37,spotify:track:70LcF31zb1H0PyJoS1Sx1r,Radiohead,Creep,XL Recordings,27,41,110,14252063
2026-01-08,38,spotify:track:2HRqTpkrJO5ggZyyK6NPWz,Sabrina Carpenter,Espresso,Island Records,1,30,91,14221924
2026-01-08,39,spotify:track:3QaPy1KgI7nu9FJEQUgn6h,Billie Eilish,WILDFLOWER,Darkroom/Interscope Records,9,42,86,14218346
2026-01-08,40,spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c,"ROSÉ, Bruno Mars",APT.,Atlantic Records,1,25,64,14127486
2026-01-08,41,spotify:track:3xkHsmpQCBMytMJNiDf3Ii,Benson Boone,Beautiful Things,"Night Street Records, Inc./Warner Records Inc.",1,35,103,14106398
2026-01-08,42,spotify:track:136BeIIoBGrrU9fI1jbcDR,"Peso Pluma, Tito Double P",daño,Double P Records,42,77,2,14088327
2026-01-08,43,spotify:track:4G7bbgD2DHORU4frrWoCXp,"DJ Japa NK, MC Meno K, MC Ryan SP, Mc Jacaré, DJ DAVI DOGDOG",Posso Até Não Te Dar Flores,Bololo Records,11,16,12,14059986
2026-01-08,44,spotify:track:3AJwUDP919kvQ9QcozQPxg,Coldplay,Yellow,Parlophone UK,19,51,264,13808007
2026-01-08,45,spotify:track:2BwO5K8Q7EPAJSGze3AAh9,Sabrina Carpenter,Manchild,Island Records,1,36,31,13762884
2026-01-08,46,spotify:track:4oVO4fGNRRvEn0CRuFO4qv,"ROSALÍA, Yahritza Y Su Esencia",La Perla,Columbia,7,46,9,13680509
2026-01-08,47,spotify:track:5XeFesFbtLpXzIVDNQP22n,Arctic Monkeys,I Wanna Be Yours,Domino Recording Co,15,43,183,13583589
2026-01-08,48,spotify:track:7ne4VBA60CxGM75vw0EYad,Gracie Abrams,That’s So True,"Gracie Abrams, under exclusive license to Interscope Records",3,48,64,13481850
2026-01-08,49,spotify:track:27xkOIER6uDLKALIelHylZ,Jin,Don’t Say You Love Me,BIGHIT MUSIC,2,38,34,13384050
