chart_week,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
2026-01-08,182,spotify:track:2ipIPsgrgd0j2beDf4Ki70,Benson Boone,Mystical Magical,"Night Street Records, Inc./Warner Records Inc.",34,174,32,8219284
2026-01-08,183,spotify:track:3Vd4fHzwS6pBS3muymjiDi,Olivia Dean,Let Alone The One You Love,PLG - Capitol,146,-1,4,8218678
2026-01-08,184,spotify:track:4e76Ss3ji7HQZ4qwcPNkNA,Junior H,MIENTRAS DUERMES,WEA Latina,134,168,15,8215967
2026-01-08,185,spotify:track:1oFAF1hdPOickyHgbuRjyX,"The Weeknd, Ariana Grande",Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,XO / Republic Records,5,157,112,8205375
2026-01-08,186,spotify:track:0B7wvvmu9EISAwZnOpjhNI,Bruno Mars,When I Was Your Man,Atlantic Records,38,181,158,8198689
2026-01-08,187,spotify:track:7nrd0eIftH3NQLfgk20Qp9,"Blessd, Anuel AA, Yan Block, Luar La L, Kris R., ROA","YOGURCITO REMIX (feat. Kris R., ROA)",WEA Latina,93,161,15,8195716
2026-01-08,188,spotify:track:3CRDbSIZ4r5MsZ0YwxuEkn,Twenty One Pilots,Stressed Out,Fueled By Ramen,63,-1,60,8158419
2026-01-08,189,spotify:track:1I37Zz2g3hk9eWxaNkj031,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",Your Idol,K-Pop Demon Hunters,4,148,28,8144952
2026-01-08,190,spotify:track:1lJOLxDS8kS2rihrqezMcv,EsDeeKid,Century,Lizzy Records,190,-1,1,8138259
2026-01-08,191,spotify:track:19XpFsce28aByvCC4g89tJ,Hozier,Too Sweet,Rubyworks / Universal-Island Records Ltd,2,-1,91,8138038
2026-01-08,192,spotify:track:2uIX8YMNjGMD7441kqyyNU,Billie Eilish,ocean eyes,Darkroom,87,-1,90,8104083
2026-01-08,193,spotify:track:50kpGaPAhYJ3sGmk6vplg0,Justin Bieber,Love Yourself,RBMG/Def Jam,62,-1,59,8097138
2026-01-08,194,spotify:track:3B54sVLJ402zGa6Xm4YGNe,"French Montana, Swae Lee",Unforgettable,Bad Boy Entertainment/Epic Records,3,-1,128,8092326
2026-01-08,195,spotify:track:1uN0f4NqMDcReSwXO6PLuG,Rihanna,Where Have You Been,Def Jam Recordings,81,-1,13,8085982
2026-01-08,196,spotify:track:0u2P5u6lvoDfwTYjAADbn4,"Billie Eilish, Khalid",lovely (with Khalid),Darkroom,24,-1,395,8085402
2026-01-08,197,spotify:track:1FEiijYPJtyswChfcpv3p0,Lana Del Rey,Summertime Sadness,Urban,83,-1,152,8084647
2026-01-08,198,spotify:track:2gam98EZKrF9XuOkU13ApN,"Nelly Furtado, Timbaland",Promiscuous,Mosley / Geffen,140,169,16,8080132
2026-01-08,199,spotify:track:6QFCMUUq1T2Vf5sFUXcuQ7,"Justin Bieber, Nicki Minaj",Beauty And A Beat,RBMG/Def Jam,195,199,3,8071714
2026-01-08,200,spotify:track:1zu5ZpnrSArdoaT6Qq3yo9,Pamungkas,Monolog,Maspam Company Ltd.,99,162,21,8060785
