track_name,artist_names,track_id,artist_id
Apocalypse,Cigarettes After Sex,1oAwsWBovWRIp7qLMGPIet,1QAJqy2dA3ihHBFIHRphZj
Who Knows,Daniel Caesar,6DH13QYXK7lKkYHSU88N48,20wkVLutqVOYrc0kxFs7rA
no tiene sentido,Beéle,1HEwEN64NjgTaHmo7LfkX8,7a0XAaPaK2aDSqa8p3QnC7
Nice To Each Other,Olivia Dean,7gKxCvTDWwV9wBhdeBbr3l,00x1fYSGhdqScXBRpSj3DW
Viva La Vida,Coldplay,3Fcfwhm8oRrBvBZ8KGhtea,4gzpq5DPGxSnKTe4SA8HAU
What You Saying,Lil Uzi Vert,7cjoZVmWe2xsGR4wcXiV2v,4O15NlyKLIASxsJ0PrXPfz
we can't be friends (wait for your love),Ariana Grande,51ZQ1vr10ffzbwIjDCwqm4,66CXWjxzNUsdJxJ2JdwvnR
ni pedo,"Peso Pluma, Tito Double P",7xLfNI4gRNTu6FyXJlzBW5,12GqGscKJx3aE4t07u7eVZ
Riptide,Vance Joy,2uXlHCUbq9OMUwx3hrk06o,10exVja0key0uqUkk6LJRT
"Gehra Hua (From ""Dhurandhar"")","Shashwat Sachdev, Arijit Singh, Irshad Kamil, Armaan Khan",72EW32eRMEnrHY4ZJf2Z96,465OXuCU8YZNmVG1leLwQ9
The Less I Know The Better,Tame Impala,6K4t31amVTZDgR3sKmwUJJ,5INjqkS1o8h1imAzPqGZBb
A Couple Minutes,Olivia Dean,312z6PZ8wwREck8613PkJk,00x1fYSGhdqScXBRpSj3DW
As It Was,Harry Styles,4Dvkj6JhhA12EX05fT7y2e,6KImCVD70vtIoJWnq6nGn3
Should I Stay or Should I Go - Remastered,The Clash,39shmbIHICJ2Wxnk1fPSdz,3RGLhK1IP9jnYFH4BRFJBS
In the End,Linkin Park,60a0Rd6pjrkxjPbaKzXjfq,6XyY86QOPPrYVGvF9ch6wz
Ya Borracho,Herencia De Grandes,4NyUIohBa3CEMGcXURYSOh,0ocHleb3SllGNQQcDH35Xz
Locked out of Heaven,Bruno Mars,3w3y8KPTfNeOKPiqUTakBh,0du5cEVh5yTK9QJze8zA0C
Choosin' Texas,Ella Langley,65DbTqJKhbwqYbZ1Okr0rc,6BRxQ8cD3eqnrVj6WKDok8
Africa,TOTO,2374M0fQpWi3dLnB54qaLX,0PFtn5NtBbbUNbU9EAmIWF
Soda Pop,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",02sy7FAs8dkDNYsHp4Ul3f,0BJ2EjOqcfgFvlZXNKrNbE
Sports car,Tate McRae,5UJbgR4XF4y1DvbkxEqe8S,45dkTj5sMRSjrmBSBeiHym
Let Down,Radiohead,2fuYa3Lx06QQJAm0MjztKr,4Z8W4fKeB5YxbusRsdQVPb
