chart_week,rank,uri,artist_names,track_name,peak_rank,previous_rank,weeks_on_chart,streams
2024-01-04,78,spotify:track:2dHHgzDwk4BJdRwy9uXhTO,"Metro Boomin, The Weeknd, 21 Savage",Creepin' (with The Weeknd & 21 Savage),2,131,57,10572731
2024-01-04,79,spotify:track:3k6q0O9JnO2GhvD6C8fs20,Jimin,Closer Than This,65,65,2,10548831
2024-01-04,80,spotify:track:4loIMejzvt11s97SGVEat8,"Xavi, Los Dareyes De La Sierra",Poco A Poco,80,161,2,10501435
2024-01-04,81,spotify:track:1yeB8MUNeLo9Ek1UEpsyz6,"Drake, Sexyy Red, SZA",Rich Baby Daddy (feat. Sexyy Red & SZA),28,181,12,10453197
2024-01-04,82,spotify:track:17cia5k4BpGVlyEfqrFH50,Olivia Rodrigo,Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes,35,145,9,10426372
2024-01-04,83,spotify:track:3tt9i3Hhzq84dPS8H7iSiJ,Manuel Turizo,La Bachata,4,152,79,10402796
2024-01-04,84,spotify:track:1hZsWUnLbqRw09jLAMQSsb,"Feid, Young Miko",CLASSY 101,8,142,40,10358093
2024-01-04,85,spotify:track:7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,Someone You Loved,4,138,260,10349529
2024-01-04,86,spotify:track:22skzmqfdWrjJylampe0kt,"Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton",Can't Hold Us (feat. Ray Dalton),86,191,99,10307415
2024-01-04,87,spotify:track:2WfaOiMkCvy7F5fcp2zZ8L,a-ha,Take on Me,83,149,21,10267499
2024-01-04,88,spotify:track:5g7sDjBhZ4I3gcFIpkrLuI,Bruno Mars,Locked out of Heaven,39,151,82,10258198
2024-01-04,89,spotify:track:7lQ8MOhq6IN2w8EYcFNSUk,Eminem,Without Me,31,135,119,10238854
2024-01-04,90,spotify:track:4EWCNWgDS8707fNSZ1oaA5,Kanye West,Heartless,90,153,26,10174728
2024-01-04,91,spotify:track:5QO79kh1waicV47BqGRL3g,The Weeknd,Save Your Tears,2,150,155,10061366
2024-01-04,92,spotify:track:2tpWsVSb9UEmDRxAl1zhX1,OneRepublic,Counting Stars,92,162,142,10048632
2024-01-04,93,spotify:track:42VsgItocQwOQC3XWZ8JNA,"Travis Scott, Playboi Carti",FE!N (feat. Playboi Carti),5,197,16,10001833
2024-01-04,94,spotify:track:003vvx7Niy0yvhvHt4a68B,The Killers,Mr. Brightside,94,-1,119,9948722
2024-01-04,95,spotify:track:0yc6Gst2xkRu0eMLeRMGCX,Cigarettes After Sex,Apocalypse,89,154,77,9854300
2024-01-04,96,spotify:track:6JIC3hbC28JZKZ8AlAqX8h,"Elton John, Dua Lipa, PNAU",Cold Heart - PNAU Remix,4,-1,120,9808894
2024-01-04,97,spotify:track:3CWq0pAKKTWb0K4yiglDc4,Taylor Swift,You’re Losing Me (From The Vault),14,155,6,9807132
2024-01-04,98,spotify:track:1zi7xx7UVEFkmKfv06H8x0,"Drake, Wizkid, Kyla",One Dance,12,186,175,9803339
2024-01-04,99,spotify:track:4GvEuYAfJlICR2SpMDaBxQ,"Jere Klein, Gittobeatz",ANDO,99,158,5,9773453
2024-01-04,100,spotify:track:2InS5VWKJQbsFBKOsf1cJB,"Dj GBR, Mc IG, MC Ryan SP, MC PH, Mc Davi, Mc Luki, Mc Don Juan, Mc Kadu, TrapLaudo, MC GP, MC GH do 7",Let's Go 4,85,146,16,9750709
2024-01-04,101,spotify:track:567e29TDzLwZwfDuEpGTwo,"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),1,-1,129,9737563
2024-01-04,102,spotify:track:0TL0LFcwIBF5eX7arDIKxY,Anuv Jain,Husn,102,-1,1,9723129
2024-01-04,103,spotify:track:561jH07mF1jHuk7KlaeF0s,Eminem,Mockingbird,24,137,64,9711113
2024-01-04,104,spotify:track:2kz1YOhJiNubjigR1gB1VX,Rauw Alejandro,DILUVIO,59,141,8,9635872
2024-01-04,105,spotify:track:3USxtqRwSYz57Ewm6wWRMp,Glass Animals,Heat Waves,1,-1,154,9605358
2024-01-04,106,spotify:track:5gDWsRxpJ2lZAffh5p7K0w,"The Weeknd, Lana Del Rey",Stargirl Interlude,99,185,75,9592714
2024-01-04,107,spotify:track:0ll8uFnc0nANY35E0Lfxvg,Keane,Somewhere Only We Know,106,170,63,9588898
2024-01-04,108,spotify:track:4R2kfaDFhslZEMJqAFNpdd,Taylor Swift,cardigan,1,169,54,9585687
2024-01-04,109,spotify:track:68Dni7IE4VyPkTOH9mRWHr,J. Cole,No Role Modelz,76,179,128,9528253
2024-01-04,110,spotify:track:6RcAHyC5sAUIbPTkhOQwd8,Junior H,Y LLORO,55,189,13,9486861
2024-01-04,111,spotify:track:3xKsf9qdS1CyvXSMEid6g8,Frank Ocean,Pink + White,70,184,33,9477352
2024-01-04,112,spotify:track:1R0a2iXumgCiFb7HEZ7gUE,Taylor Swift,Don’t Blame Me,71,190,72,9462800
2024-01-04,113,spotify:track:6dgUya35uo964z7GZXM07g,Sabrina Carpenter,Nonsense,17,-1,50,9436421
2024-01-04,114,spotify:track:1xK59OXxi2TAAAbmZK0kBL,d4vd,Romantic Homicide,17,166,70,9312208
2024-01-04,115,spotify:track:0JmnkIqdlnUzPaf8sqBRs3,Kali Uchis,Moonlight,37,193,43,9239202
2024-01-04,116,spotify:track:7aqfrAY2p9BUSiupwk3svU,"Drake, J. Cole",First Person Shooter (feat. J. Cole),6,188,13,9234978
2024-01-04,117,spotify:track:3yHyiUDJdz02FZ6jfUbsmY,"Arijit Singh, Shreyas Puranik, Siddharth - Garima","Satranga (From ""ANIMAL"")",74,132,5,9173542
2024-01-04,118,spotify:track:3WMj8moIAXJhHsyLaqIIHI,Zach Bryan,Something in the Orange,57,-1,52,9153477
2024-01-04,119,spotify:track:74X2u8JMVooG2QbjRxXwR8,LE SSERAFIM,Perfect Night,57,195,10,9147650
2024-01-04,120,spotify:track:505v13epFXodT9fVAJ6h8k,KAROL G,AMARGURA,53,178,33,9146128
2024-01-04,121,spotify:track:00rxTS5TKv3oXpDA6nWfBi,"JC NO BEAT, DJ F7, MC Meno Dani, Silva Mc",Maria Mariah,121,-1,1,9136965
2024-01-04,122,spotify:track:2TJKY0WSFufZOzbRNgl6zE,"Alex Favela, Grupo Marca Registrada, Joaquin Medina",ELOVRGA,59,157,18,9135997
2024-01-04,123,spotify:track:7yIIeKUxTpn36X6CFJhgEi,"Bellakath, Dani Flow",Reggaeton Champagne,78,143,13,9134013
2024-01-04,124,spotify:track:31nfdEooLEq7dn3UMcIeB5,BENNETT,Vois sur ton chemin - Techno Mix,85,-1,11,9133771
2024-01-04,125,spotify:track:4RvWPyQ5RL0ao9LPZeSouE,Tears For Fears,Everybody Wants To Rule The World,91,-1,67,9124299
2024-01-04,126,spotify:track:4SqWKzw0CbA05TGszDgMlc,The Walters,I Love You So,21,200,86,9099445
2024-01-04,127,spotify:track:086myS9r57YsLbJpU0TgK9,Arctic Monkeys,Why'd You Only Call Me When You're High?,95,-1,108,9098252
2024-01-04,128,spotify:track:2FDTHlrBguDzQkp7PVj16Q,"Dave, Central Cee",Sprinter,6,199,31,9055677
2024-01-04,129,spotify:track:1JSTJqkT5qHq8MDJnJbRE1,The Police,Every Breath You Take,101,-1,108,9006084
2024-01-04,130,spotify:track:1FEiijYPJtyswChfcpv3p0,Lana Del Rey,Summertime Sadness,83,192,73,8995944
2024-01-04,131,spotify:track:3yfqSUWxFvZELEM4PmlwIR,Eminem,The Real Slim Shady,51,171,113,8965915
2024-01-04,132,spotify:track:4xqrdfXkTW4T0RauPLv3WA,Conan Gray,Heather,12,173,143,8962576
2024-01-04,133,spotify:track:3hxIUxnT27p5WcmjGUXNwx,Hotel Ugly,Shut up My Moms Calling,82,-1,52,8898809
2024-01-04,134,spotify:track:7j4OmvkjRz0PrjFADlHfQx,Adele,Set Fire to the Rain,61,-1,55,8874021
2024-01-04,135,spotify:track:6I3mqTwhRpn34SLVafSH7G,Justin Bieber,Ghost,11,-1,117,8873179
2024-01-04,136,spotify:track:6dBUzqjtbnIa1TwYbyw5CM,TV Girl,Lovers Rock,119,182,28,8864276
2024-01-04,137,spotify:track:0u2P5u6lvoDfwTYjAADbn4,"Billie Eilish, Khalid",lovely (with Khalid),24,187,298,8834669
2024-01-04,138,spotify:track:58ge6dfP91o9oXMzq3XkIS,Arctic Monkeys,505,43,-1,104,8819325
2024-01-04,139,spotify:track:2UW7JaomAMuX9pZrjVpHAU,"Yng Lvcas, Peso Pluma",La Bebe - Remix,3,196,42,8815547
2024-01-04,140,spotify:track:23RoR84KodL5HWvUTneQ1w,Peggy Gou,(It Goes Like) Nanana - Edit,21,-1,22,8800389
2024-01-04,141,spotify:track:5qaEfEh1AtSdrdrByCP7qR,Imagine Dragons,Demons,119,-1,58,8785740
2024-01-04,142,spotify:track:4KW1lqgSr8TKrvBII0Brf8,Kanye West,Father Stretch My Hands Pt. 1,142,-1,5,8775480
2024-01-04,143,spotify:track:5rtpGGu3bPKsJEFjDGs63M,Sophie Ellis-Bextor,Murder On The Dancefloor,143,-1,1,8760004
2024-01-04,144,spotify:track:5TRPicyLGbAF2LGBFbHGvO,"Kanye West, Dwele",Flashing Lights,141,-1,15,8759887
2024-01-04,145,spotify:track:1RzjXhgnzqb3dMa5852itx,"Peso Pluma, Tito Double P",LA PEOPLE,115,160,7,8740541
2024-01-04,146,spotify:track:5sdQOyqq2IDhvmx2lHOpwd,NewJeans,Super Shy,9,-1,25,8728362
2024-01-04,147,spotify:track:6ED7qim1NAX1HjNU8039WS,"Eugenio Esquivel, Grupo Marca Registrada, Sebastian Esquivel, Los Esquivel",Alucin,147,-1,1,8726916
2024-01-04,148,spotify:track:1TEKUj8c5iyRNUUxo9SdSD,"Xavi, Tony Aguirre",Modo DND,148,-1,1,8695922
2024-01-04,149,spotify:track:3FvTHuefYV6TxE3Kseqno8,"Gabito Ballesteros, Natanael Cano",LOU LOU,43,177,11,8633744
2024-01-04,150,spotify:track:6rjuKpPydT2SxN15TZpV7r,Lil Tecca,500lbs,89,-1,11,8616977
2024-01-04,151,spotify:track:7K3BhSpAxZBznislvUMVtn,Morgan Wallen,Last Night,14,-1,46,8582915
2024-01-04,152,spotify:track:4kjI1gwQZRKNDkw1nI475M,Travis Scott,MY EYES,15,-1,8,8558889
2024-01-04,153,spotify:track:7BqBn9nzAq8spo5e7cZ0dJ,Bruno Mars,Just the Way You Are,120,-1,53,8524759
2024-01-04,154,spotify:track:3hUxzQpSfdDqwM3ZTFQY0K,Taylor Swift,august,11,-1,47,8518795
2024-01-04,155,spotify:track:4kLLWz7srcuLKA7Et40PQR,Black Eyed Peas,I Gotta Feeling,118,-1,3,8503727
2024-01-04,156,spotify:track:0B7wvvmu9EISAwZnOpjhNI,Bruno Mars,When I Was Your Man,72,-1,70,8492900
2024-01-04,157,spotify:track:7FIWs0pqAYbP91WWM0vlTQ,"Eminem, Juice WRLD",Godzilla (feat. Juice WRLD),4,167,84,8458323
2024-01-04,158,spotify:track:2LawezPeJhN4AWuSB0GtAU,Creedence Clearwater Revival,Have You Ever Seen The Rain,158,-1,20,8456605
2024-01-04,159,spotify:track:3E7dfMvvCLUddWissuqMwr,Miley Cyrus,Party In The U.S.A.,132,-1,4,8454217
2024-01-04,160,spotify:track:3azJifCSqg9fRij2yKIbWz,Tory Lanez,The Color Violet,70,-1,46,8449904
2024-01-04,161,spotify:track:5odlY52u43F5BjByhxg7wg,JVKE,golden hour,14,-1,69,8433767
2024-01-04,162,spotify:track:3dYD57lRAUcMHufyqn9GcI,Hozier,Take Me To Church,108,-1,123,8423723
2024-01-04,163,spotify:track:5FVd6KXrgO9B3JPmC8OPst,Arctic Monkeys,Do I Wanna Know?,98,-1,118,8408982
2024-01-04,164,spotify:track:0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,Perfect,4,-1,353,8404086
2024-01-04,165,spotify:track:0dS2u2UFd88TIzDDaZDLvS,d4vd,Here With Me,14,-1,61,8388331
2024-01-04,166,spotify:track:0JXXNGljqupsJaZsgSbMZV,Miguel,Sure Thing,14,-1,55,8362580
2024-01-04,167,spotify:track:54zcJnb3tp9c5OVKREZ1Is,KAROL G,MI EX TENÍA RAZÓN,22,-1,20,8361890
2024-01-04,168,spotify:track:1v7L65Lzy0j0vdpRjJewt1,Eminem,Lose Yourself,44,-1,127,8358355
2024-01-04,169,spotify:track:2Hh3ETdQKrmSI3QS0hme7g,"Metro Boomin, Future, Don Toliver",Too Many Nights (feat. Don Toliver & with Future),33,-1,43,8347935
2024-01-04,170,spotify:track:3EaJDYHA0KnX88JvDhL9oa,Steve Lacy,Dark Red,66,-1,107,8336921
2024-01-04,171,spotify:track:7fBv7CLKzipRk6EC6TWHOB,The Weeknd,The Hills,52,-1,89,8325849
2024-01-04,172,spotify:track:2eAvDnpXP5W0cVtiI0PUxV,Ruth B.,Dandelions,34,-1,124,8322218
2024-01-04,173,spotify:track:0cVyQfDyRnMJ0V3rjjdlU3,Paul Russell,Lil Boo Thang,173,-1,1,8292580
2024-01-04,174,spotify:track:1oFAF1hdPOickyHgbuRjyX,"The Weeknd, Ariana Grande",Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,5,-1,103,8282620
2024-01-04,175,spotify:track:7iUtQNMRB8ZkKC4AmEuCJC,Myke Towers,LA FALDA,175,-1,1,8250145
2024-01-04,176,spotify:track:5HR7yfhSCeoOHRQN05XnZQ,"Grupo Frontera, Carín León",QUE VUELVAS,36,-1,40,8228894
2024-01-04,177,spotify:track:0nrRP2bk19rLc0orkWPQk2,Avicii,Wake Me Up,13,-1,93,8215513
2024-01-04,178,spotify:track:3KZCP2StVGdWkOKyRZNWA4,Plan B,Es un Secreto,157,-1,16,8181870
2024-01-04,179,spotify:track:6Qyc6fS4DsZjB2mRW9DsQs,The Goo Goo Dolls,Iris,124,-1,23,8155492
2024-01-04,180,spotify:track:3cDyocF0Ibdfs1SFQk5cLZ,Darell,Lollipop,19,-1,12,8143784
2024-01-04,181,spotify:track:1u8c2t2Cy7UBoG4ArRcF5g,Taylor Swift,Blank Space,27,-1,106,8126968
2024-01-04,182,spotify:track:6VObnIkLVruX4UVyxWhlqm,Adele,Skyfall,182,-1,1,8080073
2024-01-04,183,spotify:track:60a0Rd6pjrkxjPbaKzXjfq,Linkin Park,In the End,22,-1,26,8054436
2024-01-04,184,spotify:track:4W4fNrZYkobj539TOWsLO2,"The Weeknd, Ariana Grande",Die For You (with Ariana Grande) - Remix,2,-1,37,8044640
2024-01-04,185,spotify:track:0pqnGHJpmpxLKifKRmU6WP,Imagine Dragons,Believer,16,-1,357,8030136
2024-01-04,186,spotify:track:5wG3HvLhF6Y5KTGlK0IW3J,"Metro Boomin, Travis Scott, Young Thug",Trance (with Travis Scott & Young Thug),65,-1,31,8008618
2024-01-04,187,spotify:track:3DK6m7It6Pw857FcQftMds,"Kanye West, Pusha T",Runaway,187,-1,3,7989691
2024-01-04,188,spotify:track:71BqAINEnezjQfxE4VuJfq,Taylor Swift,"""Slut!"" (Taylor's Version) (From The Vault)",3,-1,8,7970556
2024-01-04,189,spotify:track:2a1o6ZejUi8U3wzzOtCOYw,"Don Omar, Lucenzo",Danza Kuduro,104,-1,17,7955277
2024-01-04,190,spotify:track:0DWdj2oZMBFSzRsi2Cvfzf,"KAROL G, Shakira",TQG,1,-1,43,7950655
2024-01-04,191,spotify:track:0GjEhVFGZW8afUYGChu3Rr,ABBA,Dancing Queen,191,-1,1,7947485
2024-01-04,192,spotify:track:739WUU1tPFLO4x4HJq561K,FIFTY FIFTY,Cupid - Twin Version,4,-1,39,7944245
2024-01-04,193,spotify:track:06qMRF18gwbOYYbnP2du6i,Wham!,Last Christmas - Single Version,2,2,51,7914063
2024-01-04,194,spotify:track:70LcF31zb1H0PyJoS1Sx1r,Radiohead,Creep,143,-1,25,7864361
2024-01-04,195,spotify:track:0lYBSQXN6rCTvUZvg9S0lU,"DJ Snake, Justin Bieber",Let Me Love You,4,-1,48,7847558
2024-01-04,196,spotify:track:2HbKqm4o0w5wEeEFXm2sD4,"Kendrick Lamar, Jay Rock",Money Trees,62,-1,48,7823299
2024-01-04,197,spotify:track:7uoFMmxln0GPXQ0AcCBXRq,Sia,Snowman,9,9,33,7790817
2024-01-04,198,spotify:track:6GGtHZgBycCgGBUhZo81xe,Lana Del Rey,Say Yes To Heaven,18,-1,30,7786765
2024-01-04,199,spotify:track:3IznIgmXtrUaoPWpQTy5jB,TV Girl,Not Allowed,171,-1,3,7775597
2024-01-04,200,spotify:track:1Y3LN4zO1Edc2EluIoSPJN,"Stephen Sanchez, Em Beihold",Until I Found You (with Em Beihold) - Em Beihold Version,10,-1,53,7771876
2024-01-11,1,spotify:track:0R6NfOiLzLj4O5VbYSJAjf,Xavi,La Diabla,1,2,5,34195950
2024-01-11,2,spotify:track:3rUGC1vUpkDG9CZFHMur1t,Tate McRae,greedy,1,1,17,34059012
2024-01-11,3,spotify:track:4xhsWYTOGcal8zt0J161CU,Jack Harlow,Lovin On Me,3,3,9,32055608
2024-01-11,4,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,2,4,49,28511866
