track_id,track_name,artist_id,release_date,explicit,track_popularity,artist_genres,artist_followers,artist_popularity
7B3BwNecBhKvNwSMOOl7Gk,Fame is a Gun,4gvjmrtzydbMpyJaXUtwvP,2025-06-06,False,86,,1661675,77
43iIQbw5hx986dUEZbr3eN,From The Start,7gW0r5CkdEUMm42w9XpyZO,2023-09-08,False,88,,9210873,85
2nMeu6UenVvwUktBCpLMK9,Young And Beautiful,00FQb4jTyendYWaN8pK0wa,2013-01-01,False,89,,54195415,91
0eLtIxPRNJfsmehITZ1qaJ,Sahiba,3ozYqVCLohfpXIhalkhM8D,2023-12-19,False,89,hindi indie|indian indie|desi pop|hindi pop,2756219,78
2nLtzopw4rPReszdYBJU6h,Numb,6XyY86QOPPrYVGvF9ch6wz,2003-03-25,False,89,nu metal|rap metal|rock|alternative metal,32934070,91
4qfkZtOGVw2BXa05wqXKkV,bckpckbyz,12GqGscKJx3aE4t07u7eVZ,2025-12-25,True,86,corrido|corridos tumbados|corridos bélicos|música mexicana|sad sierreño|banda|electro corridos,25407668,93
6DXLO8LndZMVOHM0wNbpzg,Danza Kuduro,33ScadVnbm2X8kkUqOkC6Z,2010-01-01,False,78,reggaeton|urbano latino,17198368,85
72EW32eRMEnrHY4ZJf2Z96,"Gehra Hua (From ""Dhurandhar"")",465OXuCU8YZNmVG1leLwQ9,2025-11-27,False,70,bollywood|indian indie|desi pop,119191,82
2374M0fQpWi3dLnB54qaLX,Africa,0PFtn5NtBbbUNbU9EAmIWF,1982-04-08,False,89,yacht rock|soft rock,3885015,77
0tgVpDi06FyKpA1z0VMD4v,Perfect,6eUKZXaKkcviH0Ku9w2n3V,2017-03-03,False,89,soft pop,124480810,90
3FSPaBp49Clqq2p4zc9dbA,Photograph,6eUKZXaKkcviH0Ku9w2n3V,2013,False,61,soft pop,124480810,90
2GP6UzoA55p6yYiPCGyEhg,2+2,0rUu2qzqezBrCddX1RuUyJ,2025-06-23,False,88,electro corridos|dembow belico|corrido|corridos tumbados,596945,79
2LBqCSwhJGcFQeTHMVGwy3,Die For You,1Xyo4u8uXC1ZmMpatF05PJ,2016-11-24,False,87,,117396010,96
1k0JAiH11gHL9dc5dfQjQr,NOT CUTE ANYMORE,36cgvBn0aadzOijnjjwqMN,2025-11-24,False,89,k-pop,4627365,81
2WfaOiMkCvy7F5fcp2zZ8L,Take on Me,2jzc5TC5TVFLXQlBNiIUzE,1985-06-01,False,89,new wave|synthpop,3044532,75
