artist_names,track_name,track_id,artist_id
Vance Joy,Riptide,2uXlHCUbq9OMUwx3hrk06o,10exVja0key0uqUkk6LJRT
Nicki Minaj,FTCU,1a73gcEg6h6Re6hHXoVltJ,0hCNtLu0JehylgoiP8L4Gh
Sabrina Carpenter,Feather,2Zo1PcszsT9WQ0ANntJbID,74KM79TiuVKeVCqs8QtB0B
Taylor Swift,Lover,1dGr1c8CrMLDpV6mPbImSI,06HL4z0CvFAxyc27GXpf02
"Rihanna, Calvin Harris",We Found Love,0U10zFw4GlBacOy9VDGfGL,5pKCCKE2ajJHZ9KAiaK11H
Tate McRae,exes,4E63weMCaNZuGPEFMnuEi8,45dkTj5sMRSjrmBSBeiHym
Lauana Prado,Me Leva Pra Casa / Escrito Nas Estrelas / Saudade - Ao Vivo,2sYFUcurlISdHlAsnYCEgD,6TYimByryGphZCtwYopH0y
"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,3KkXRkHbMCARz0aVfEt68P,246dkjvS1zLTtiykXe5h60
"Eslabon Armado, Peso Pluma",Ella Baila Sola,3dnP0JxCgygwQH9Gm7q7nb,0XeEobZplHxzM9QzFQWLiR
OneRepublic,I Ain't Worried,4h9wh7iOZ0GGn8QVp4RAOB,5Pwc4xIPtQLFEnJriah9YJ
Coldplay,Viva La Vida,3Fcfwhm8oRrBvBZ8KGhtea,4gzpq5DPGxSnKTe4SA8HAU
Coldplay,Yellow,3AJwUDP919kvQ9QcozQPxg,4gzpq5DPGxSnKTe4SA8HAU
Travis Scott,I KNOW ?,6wsqVwoiVH2kde4k4KKAFU,0Y5tJX1MQlPlqiwlOH1tJY
"Metro Boomin, The Weeknd, 21 Savage",Creepin' (with The Weeknd & 21 Savage),2dHHgzDwk4BJdRwy9uXhTO,0iEtIxbK0KxaSlF7G42ZOp
Jimin,Closer Than This,6qafqn8bBMy7t5c5WqpyRk,1oSPZhvZMIrWW5I41kPkkY
"Xavi, Los Dareyes De La Sierra",Poco A Poco,1NtF4j3oiNostz6IgmBwRI,3Me35AWHCGqW4sZ7bWWJt1
"Drake, Sexyy Red, SZA",Rich Baby Daddy (feat. Sexyy Red & SZA),1yeB8MUNeLo9Ek1UEpsyz6,3TVXtAsR1Inumwj472S9r4
Olivia Rodrigo,Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes,17cia5k4BpGVlyEfqrFH50,1McMsnEElThX1knmY4oliG
Manuel Turizo,La Bachata,3tt9i3Hhzq84dPS8H7iSiJ,0tmwSHipWxN12fsoLcFU3B
"Feid, Young Miko",CLASSY 101,1hZsWUnLbqRw09jLAMQSsb,2LRoIwlKmHjgvigdNGBHNo
Lewis Capaldi,Someone You Loved,7qEHsqek33rTcFNT9PFqLf,4GNC7GD6oZMSxPGyXy4MNB
"Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton",Can't Hold Us (feat. Ray Dalton),22skzmqfdWrjJylampe0kt,3JhNCzhSMTxs9WLGJJxWOY
a-ha,Take on Me,2WfaOiMkCvy7F5fcp2zZ8L,2jzc5TC5TVFLXQlBNiIUzE
Bruno Mars,Locked out of Heaven,3w3y8KPTfNeOKPiqUTakBh,0du5cEVh5yTK9QJze8zA0C
Eminem,Without Me,7lQ8MOhq6IN2w8EYcFNSUk,7dGJo4pcD2V6oG8kP0tJRR
Kanye West,Heartless,4EWCNWgDS8707fNSZ1oaA5,5K4W6rqBFWDnAN6FQUkS6x
The Weeknd,Save Your Tears,5QO79kh1waicV47BqGRL3g,1Xyo4u8uXC1ZmMpatF05PJ
OneRepublic,Counting Stars,2tpWsVSb9UEmDRxAl1zhX1,5Pwc4xIPtQLFEnJriah9YJ
"Travis Scott, Playboi Carti",FE!N (feat. Playboi Carti),42VsgItocQwOQC3XWZ8JNA,0Y5tJX1MQlPlqiwlOH1tJY
The Killers,Mr. Brightside,003vvx7Niy0yvhvHt4a68B,0C0XlULifJtAgn6ZNCW2eu
Cigarettes After Sex,Apocalypse,1oAwsWBovWRIp7qLMGPIet,1QAJqy2dA3ihHBFIHRphZj
"Elton John, Dua Lipa, PNAU",Cold Heart - PNAU Remix,6zSpb8dQRaw0M1dK8PBwQz,3PhoLpVuITZKcymswpck5b
Taylor Swift,You’re Losing Me (From The Vault),3CWq0pAKKTWb0K4yiglDc4,06HL4z0CvFAxyc27GXpf02
"Drake, Wizkid, Kyla",One Dance,1zi7xx7UVEFkmKfv06H8x0,3TVXtAsR1Inumwj472S9r4
"Jere Klein, Gittobeatz",ANDO,4GvEuYAfJlICR2SpMDaBxQ,35oGZihZclGoTVuICPXRP9
"Dj GBR, Mc IG, MC Ryan SP, MC PH, Mc Davi, Mc Luki, Mc Don Juan, Mc Kadu, TrapLaudo, MC GP, MC GH do 7",Let's Go 4,2InS5VWKJQbsFBKOsf1cJB,0IhzJFf4QBEz0ifqLwScKV
"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),5HCyWlXZPP0y6Gqq8TgA20,2tIP7SsRs7vjIcLrU85W8J
Anuv Jain,Husn,0TL0LFcwIBF5eX7arDIKxY,4gdMJYnopf2nEUcanAwstx
Eminem,Mockingbird,561jH07mF1jHuk7KlaeF0s,7dGJo4pcD2V6oG8kP0tJRR
Rauw Alejandro,DILUVIO,2kz1YOhJiNubjigR1gB1VX,1mcTU81TzQhprhouKaTkpq
Glass Animals,Heat Waves,3USxtqRwSYz57Ewm6wWRMp,4yvcSjfu4PC0CYQyLy4wSq
"The Weeknd, Lana Del Rey",Stargirl Interlude,5gDWsRxpJ2lZAffh5p7K0w,1Xyo4u8uXC1ZmMpatF05PJ
Keane,Somewhere Only We Know,1SKPmfSYaPsETbRHaiA18G,53A0W3U0s8diEn9RhXQhVz
Taylor Swift,cardigan,4R2kfaDFhslZEMJqAFNpdd,06HL4z0CvFAxyc27GXpf02
J. Cole,No Role Modelz,68Dni7IE4VyPkTOH9mRWHr,6l3HvQ5sa6mXTsMTB19rO5
Junior H,Y LLORO,6RcAHyC5sAUIbPTkhOQwd8,7Gi6gjaWy3DxyilpF1a8Is
Frank Ocean,Pink + White,3xKsf9qdS1CyvXSMEid6g8,2h93pZq0e7k5yf4dywlkpM
Taylor Swift,Don’t Blame Me,1R0a2iXumgCiFb7HEZ7gUE,06HL4z0CvFAxyc27GXpf02
Sabrina Carpenter,Nonsense,6dgUya35uo964z7GZXM07g,74KM79TiuVKeVCqs8QtB0B
d4vd,Romantic Homicide,1xK59OXxi2TAAAbmZK0kBL,5y8tKLUfMvliMe8IKamR32
Kali Uchis,Moonlight,0JmnkIqdlnUzPaf8sqBRs3,1U1el3k54VvEUzo3ybLPlM
"Drake, J. Cole",First Person Shooter (feat. J. Cole),7aqfrAY2p9BUSiupwk3svU,3TVXtAsR1Inumwj472S9r4
"Arijit Singh, Shreyas Puranik, Siddharth - Garima","Satranga (From ""ANIMAL"")",3yHyiUDJdz02FZ6jfUbsmY,4YRxDV8wJFPHPTeXepOstw
Zach Bryan,Something in the Orange,3WMj8moIAXJhHsyLaqIIHI,40ZNYROS4zLfyyBSs2PGe2
LE SSERAFIM,Perfect Night,74X2u8JMVooG2QbjRxXwR8,4SpbR6yFEvexJuaBpgAU5p
KAROL G,AMARGURA,505v13epFXodT9fVAJ6h8k,790FomKkXshlbRYZFtlgla
"JC NO BEAT, DJ F7, MC Meno Dani, Silva Mc",Maria Mariah,,
"Alex Favela, Grupo Marca Registrada, Joaquin Medina",ELOVRGA,2TJKY0WSFufZOzbRNgl6zE,5TcnuUD5MHBfd1cO4kweWD
"Bellakath, Dani Flow",Reggaeton Champagne,7yIIeKUxTpn36X6CFJhgEi,4yjm4SvYqC5FFuLbB6TyHr
BENNETT,Vois sur ton chemin - Techno Mix,31nfdEooLEq7dn3UMcIeB5,1r43wW70tnGUauQYvY5w48
Tears For Fears,Everybody Wants To Rule The World,4RvWPyQ5RL0ao9LPZeSouE,4bthk9UfsYUYdcFyqxmSUU
The Walters,I Love You So,4SqWKzw0CbA05TGszDgMlc,027TpXKGwdXP7iwbjUSpV8
Arctic Monkeys,Why'd You Only Call Me When You're High?,086myS9r57YsLbJpU0TgK9,7Ln80lUS6He07XvHI8qqHH
"Dave, Central Cee",Sprinter,6NYbDTmstd7JSUWl2hVBqR,6Ip8FS7vWT1uKkJSweANQK
The Police,Every Breath You Take,1JSTJqkT5qHq8MDJnJbRE1,5NGO30tJxFlKixkPSgXcFE
Lana Del Rey,Summertime Sadness,1Ist6PR2BZR3n2z2Y5R6S1,00FQb4jTyendYWaN8pK0wa
Eminem,The Real Slim Shady,3yfqSUWxFvZELEM4PmlwIR,7dGJo4pcD2V6oG8kP0tJRR
Conan Gray,Heather,4xqrdfXkTW4T0RauPLv3WA,4Uc8Dsxct0oMqx0P6i60ea
Hotel Ugly,Shut up My Moms Calling,3hxIUxnT27p5WcmjGUXNwx,35WVTyRnKAoaGExqgktVyb
Adele,Set Fire to the Rain,3di5hcvxxciiqwMH1jarhY,4dpARuHxo51G3z768sgnrY
Justin Bieber,Ghost,6I3mqTwhRpn34SLVafSH7G,1uNFoZAHBGtllmzznpCI3s
TV Girl,Lovers Rock,6dBUzqjtbnIa1TwYbyw5CM,0Y6dVaC9DZtPNH4591M42W
"Billie Eilish, Khalid",lovely (with Khalid),0u2P5u6lvoDfwTYjAADbn4,6qqNVTkY8uBg9cP3Jd7DAH
Arctic Monkeys,505,0BxE4FqsDD1Ot4YuBXwAPp,7Ln80lUS6He07XvHI8qqHH
"Yng Lvcas, Peso Pluma",La Bebe - Remix,2UW7JaomAMuX9pZrjVpHAU,1NNRWkhwmcXRimFYSBpB1y
Peggy Gou,(It Goes Like) Nanana - Edit,23RoR84KodL5HWvUTneQ1w,2mLA48B366zkELXYx7hcDN
Imagine Dragons,Demons,5qaEfEh1AtSdrdrByCP7qR,53XhwfbYqKCa1cC15pYq2q
Kanye West,Father Stretch My Hands Pt. 1,4KW1lqgSr8TKrvBII0Brf8,5K4W6rqBFWDnAN6FQUkS6x
Sophie Ellis-Bextor,Murder On The Dancefloor,4tKGFmENO69tZR9ahgZu48,2cBh5lVMg222FFuRU7EfDE
"Kanye West, Dwele",Flashing Lights,5TRPicyLGbAF2LGBFbHGvO,5K4W6rqBFWDnAN6FQUkS6x
"Peso Pluma, Tito Double P",LA PEOPLE,1RzjXhgnzqb3dMa5852itx,12GqGscKJx3aE4t07u7eVZ
NewJeans,Super Shy,5sdQOyqq2IDhvmx2lHOpwd,6HvZYsbFfjnjFrWF950C9d
"Eugenio Esquivel, Grupo Marca Registrada, Sebastian Esquivel, Los Esquivel",Alucin,6ED7qim1NAX1HjNU8039WS,5HeN1Iza4nZe03sFlonddz
"Xavi, Tony Aguirre",Modo DND,068FLtfKBYgjkmo75UowQV,3Me35AWHCGqW4sZ7bWWJt1
"Gabito Ballesteros, Natanael Cano",LOU LOU,3FvTHuefYV6TxE3Kseqno8,6Sbl0NT50roqWvy746MfVf
Lil Tecca,500lbs,6rjuKpPydT2SxN15TZpV7r,4Ga1P7PMIsmqEZqhYZQgDo
Morgan Wallen,Last Night,583dMdiUquLMenarTp7PQm,4oUHIQIBe0LHzYfvXNW4QM
Travis Scott,MY EYES,4kjI1gwQZRKNDkw1nI475M,0Y5tJX1MQlPlqiwlOH1tJY
